date,2308 adjclose,2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd
2011/7/18,68.91,505794,54.03,20.35,9.89,24.6,16.97,13.1,24.96,97.19,12.68,6.47,26.24,-263.49,16.44,46.28,69.36,75.26,-1.41,37.19,25.33,20.62
2011/7/19,67.92,331924,53.75,19.27,9.86,24.81,16.79,13.2,25.01,99.79,13.2,6.47,26.12,11.54,21.32,-11.44,69.16,74.93,-1.33,44.17,34.48,25.16
2011/7/20,69.24,300740,51.48,18.82,9.93,24.95,17.38,13.6,24.86,100.72,12.94,6.45,25.4,-172.41,5.43,-16.2,69.13,74.62,-1.34,41.21,54.8,38.2
2011/7/21,70.9,490457,50.98,19.07,9.86,24.95,17.23,13.55,25.06,100.72,13.16,6.44,25.45,-111.5,5.02,6.79,69.31,74.33,-1.22,46.37,66.31,51.86
2011/7/22,72.56,523839,52.83,18.69,9.78,25.08,17.26,13.8,24.91,100.1,13.16,6.3,26.2,-27.07,61.85,40.02,69.62,74.06,-0.98,52.03,88.53,69.88
2011/7/25,71.56,575569,54.18,19.32,10,25.26,17.32,13.7,25.35,103.51,13.27,6.34,25.74,7.67,24.64,57.71,69.81,73.79,-0.65,56.93,90.95,81.93
2011/7/26,71.35,615238,53.96,18.71,9.71,24.95,17.32,13.55,26.13,103.2,12.9,6.3,25.11,-48.28,22.79,63.72,69.96,73.57,-0.46,53.41,84.02,87.83
2011/7/27,70.66,724367,54.32,18.85,9.71,24.91,17.29,13.7,26.09,103.82,12.83,6.3,25.28,26.34,0,-41.62,70.07,73.32,-0.33,52.67,64.92,79.96
2011/7/28,71.7,506778,52.26,18.88,9.78,24.84,17.08,13.75,26.38,106.92,12.79,6.37,25.53,-93.48,2.23,-14.51,70.16,73.05,-0.27,50.18,60.6,69.85
2011/7/29,71.01,460469,52.33,18.77,9.78,24.77,16.88,13.85,27.21,105.68,12.65,6.4,25.66,160.89,-0.41,-33.58,70.23,72.8,-0.14,53.71,49.99,58.51
2011/8/1,73.79,266764,51.48,18.77,9.71,24.98,16.97,14.8,27.99,101.65,12.39,6.44,24.9,43.25,0,-1.63,70.44,72.58,-0.1,51.11,66.32,58.97
